reference_timestamp,screen_rank,timeframe,candidate_start,candidate_end,candle_structure_similarity,story_similarity,family_story,story,synchronization
1788523200000,14,15m,28768,28787,0.429390097840943,0.2142857142857143,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> REJECTION,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REJECTION_CLUSTER,EXACT
1788523200000,14,30m,29374,29393,0.20339290657196865,0.5714285714285714,INITIAL_CONTEXT -> BODY_CHANGE -> REJECTION -> HOLD -> EXPANSION_AFTER_TEST -> PULLBACK -> REJECTION,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> REJECTION_CLUSTER -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST -> PULLBACK_CLUSTER -> REJECTION_CLUSTER,EXACT
1788523200000,14,1h,29677,29696,0.11931326474662168,0.4375,INITIAL_CONTEXT -> DIRECTION_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> HOLD -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1788523200000,14,4h,9905,9924,0.19607501138173603,0.5,INITIAL_CONTEXT -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1788523200000,14,1d,2967,2986,0.1438575261924795,0.41666666666666663,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> HOLD -> REJECTION -> EXPANSION_AFTER_TEST -> PULLBACK -> REJECTION -> EXPANSION_AFTER_TEST,INITIAL_BULLISH_BIAS -> RANGE_COMPRESSION -> DIRECTION_CHANGE_IN_CHARACTER -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> PULLBACK_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,ASOF_CONTEXT
1789387200000,15,1m,26201,26220,0.2833367089614809,0.6,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION,EXACT
1789387200000,15,3m,28721,28740,0.37982761172668733,0.6,INITIAL_CONTEXT -> DIRECTION_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> REJECTION,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,EXACT
1789387200000,15,5m,29224,29243,0.25418260116657426,0.8333333333333334,INITIAL_CONTEXT -> DIRECTION_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_BEARISH_BIAS -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1789387200000,15,15m,29728,29747,0.296253053425591,0.5714285714285714,INITIAL_CONTEXT -> DIRECTION_CHANGE -> HOLD -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> DIRECTION_CHANGE_IN_CHARACTER -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1789387200000,15,30m,29854,29873,0.302989363665647,0.5,INITIAL_CONTEXT -> HOLD -> REJECTION -> EXPANSION_AFTER_TEST -> HOLD -> REJECTION -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_BALANCED_BEHAVIOUR -> HOLD_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,EXACT
1789387200000,15,1h,29917,29936,0.2599546547808592,0.4375,INITIAL_CONTEXT -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_BULLISH_BIAS -> BODY_COMPRESSION -> LEVEL_INTERACTION_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1789387200000,15,4h,9965,9984,0.387967121947865,0.6,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1789387200000,15,1d,2977,2996,0.5691543989269499,0.6428571428571428,INITIAL_CONTEXT -> BODY_CHANGE -> HOLD -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> REJECTION -> PULLBACK,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> HOLD_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER -> PULLBACK_CLUSTER,ASOF_CONTEXT
1788681600000,18,1m,14441,14460,0.42639463590150345,0.5,INITIAL_CONTEXT -> BODY_CHANGE -> DIRECTION_CHANGE -> HOLD -> PULLBACK,INITIAL_BULLISH_BIAS -> BODY_EXPANSION -> COUNTERMOVE_AND_RENEWAL -> HOLD_CLUSTER -> PULLBACK_CLUSTER,EXACT
1788681600000,18,3m,24801,24820,0.26752633422725214,0.8,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,EXACT
1788681600000,18,5m,26872,26891,0.23442731032614106,0.5,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> LEVEL_INTERACTION_CLUSTER,EXACT
1788681600000,18,15m,28944,28963,0.5424919456707467,0.375,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> LEVEL_INTERACTION -> HOLD -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> PULLBACK,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> BODY_EXPANSION -> LEVEL_INTERACTION_CLUSTER -> HOLD_CLUSTER -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> PULLBACK_CLUSTER,EXACT
1788681600000,18,30m,29462,29481,0.28747871920871093,0.7,INITIAL_CONTEXT -> RANGE_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> REJECTION,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,EXACT
1788681600000,18,1h,29721,29740,0.14381325987281163,0.625,INITIAL_CONTEXT -> RANGE_CHANGE -> DIRECTION_CHANGE -> BODY_CHANGE -> REJECTION -> EXPANSION_AFTER_TEST -> REJECTION,INITIAL_BALANCED_BEHAVIOUR -> RANGE_EXPANSION -> DIRECTIONAL_SHIFT -> BODY_EXPANSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,EXACT
1788681600000,18,4h,9916,9935,0.24924460074499122,0.5,INITIAL_CONTEXT -> RANGE_CHANGE -> BODY_CHANGE -> DIRECTION_CHANGE -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION -> EXPANSION_AFTER_TEST -> HOLD,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> COUNTERMOVE_AND_RENEWAL -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST -> HOLD_CLUSTER,EXACT
