timeframe,rank,candidate_start,candidate_end,similarity,candles,bullish_fraction,bearish_fraction,alternation_fraction,compression_fraction,expansion_fraction,upper_rejection_fraction,lower_rejection_fraction,mean_body_pct,mean_range_ratio,first_half_bullish,second_half_bullish,directional_shift,range_shift,body_shift,archetype,micro_behaviour
5m,6,6785,6804,0.33631628590053014,20,0.5,0.5,0.631578947368421,0.3,0.4,0.4,0.15,0.5124503546301662,1.2392159613135545,0.6,0.4,-0.19999999999999996,-0.6127854568823226,-0.11345604878197252,REJECTION_MIX,HIGH_ALTERNATION
5m,7,16322,16341,0.3350253965947196,20,0.55,0.45,0.47368421052631576,0.55,0.0,0.35,0.5,0.319302867506114,0.7702876092491395,0.5,0.6,0.09999999999999998,0.20836463484335888,-0.09693877959182856,SIDEWAYS_COMPRESSION,WICK_REJECTION_COMPRESSION
5m,8,18018,18037,0.3337767548077475,20,0.6,0.4,0.6842105263157895,0.15,0.7,0.35,0.35,0.4547318162375659,1.3678197962993721,0.5,0.7,0.19999999999999996,-0.0064358179534314,-0.22226989334897934,REJECTION_MIX,HIGH_ALTERNATION
5m,9,11360,11379,0.3337584141505599,20,0.65,0.35,0.47368421052631576,0.25,0.45,0.35,0.3,0.4772514264790605,1.4131344521060059,0.5,0.8,0.30000000000000004,0.71327683081238,-0.05443478482267794,BEARISH_TO_BULLISH_SHIFT,RANGE_EXPANSION
5m,10,20403,20422,0.33324386389300414,20,0.55,0.45,0.47368421052631576,0.6,0.1,0.25,0.35,0.5176658773526314,0.8060518952774579,0.8,0.3,-0.5,-0.2628115557281969,-0.035838543207810325,SIDEWAYS_COMPRESSION,WICK_REJECTION_COMPRESSION
5m,11,29903,29922,0.3331451535416539,20,0.6,0.4,0.42105263157894735,0.7,0.1,0.35,0.45,0.3713795111096769,0.7553262648345156,0.5,0.7,0.19999999999999996,-0.40896585156049703,-0.1794012923640273,SIDEWAYS_COMPRESSION,WICK_REJECTION_COMPRESSION
5m,12,3572,3591,0.33305563285081974,20,0.65,0.35,0.42105263157894735,0.45,0.2,0.4,0.4,0.3970911435211562,0.9174073946981224,0.9,0.4,-0.5,-0.32023786943500043,0.17595151178239998,REJECTION_MIX,DIRECTIONAL_COMPRESSION
5m,13,9503,9522,0.3329739520693674,20,0.55,0.45,0.47368421052631576,0.3,0.3,0.2,0.35,0.46857053440586505,1.0675175402337014,0.5,0.6,0.09999999999999998,0.4268029406880496,-0.22617323813584156,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR
5m,14,21723,21742,0.33274415557733444,20,0.55,0.45,0.47368421052631576,0.65,0.05,0.15,0.45,0.5097750108997576,0.7422235478100289,0.4,0.7,0.29999999999999993,0.10419485266768047,-0.3318655701151329,SIDEWAYS_COMPRESSION,WICK_REJECTION_COMPRESSION
5m,15,12051,12070,0.3323720595941882,20,0.5,0.5,0.6842105263157895,0.5,0.1,0.25,0.45,0.44197943175043103,0.8644862947383792,0.5,0.5,0.0,-0.21388042224738646,-0.042655436388499,REJECTION_MIX,REJECTION_BALANCE
5m,16,29701,29720,0.33189292258970804,20,0.55,0.45,0.5789473684210527,0.45,0.2,0.3,0.25,0.5636008219528836,0.9204067492509905,0.6,0.5,-0.09999999999999998,0.0005110835835756555,-0.0736922686162772,REJECTION_MIX,HIGH_ALTERNATION
5m,17,6983,7002,0.33149973950723327,20,0.5,0.5,0.3157894736842105,0.25,0.5,0.3,0.25,0.4926965293369248,1.374523543429713,0.5,0.5,0.0,-0.7271684014928881,0.007467536854598944,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR
5m,18,14348,14367,0.3309381342093979,20,0.5,0.5,0.42105263157894735,0.45,0.25,0.4,0.3,0.37478488904999396,0.9476002499651406,0.6,0.4,-0.19999999999999996,-0.24309847951045016,-0.049981488561262666,REJECTION_MIX,MIXED_MICRO_BEHAVIOUR
5m,19,5487,5506,0.33055206331866166,20,0.65,0.35,0.631578947368421,0.15,0.55,0.25,0.4,0.49889539771497393,1.3411714028814794,0.6,0.7,0.09999999999999998,0.15706929031673833,0.0448467194355312,SIDEWAYS_TO_DIRECTIONAL,RANGE_EXPANSION
5m,20,12953,12972,0.330489306446293,20,0.5,0.5,0.6842105263157895,0.35,0.45,0.25,0.45,0.47953924631994466,1.0536076947012067,0.5,0.5,0.0,0.019719596334586198,0.08507813284004723,REJECTION_MIX,REJECTION_BALANCE
5m,21,25849,25868,0.3304885537188537,20,0.65,0.35,0.5789473684210527,0.55,0.1,0.35,0.3,0.4149269137656069,0.8081205286670631,0.7,0.6,-0.09999999999999998,-0.10647044755823099,-0.22017230876494626,COMPRESSION_SEQUENCE,HIGH_ALTERNATION
5m,22,22326,22345,0.3304181601339829,20,0.6,0.4,0.5789473684210527,0.45,0.35,0.3,0.4,0.4283455849055596,1.1448774883383466,0.4,0.8,0.4,-0.5891743217983012,-0.1554189528200307,REJECTION_MIX,DIRECTIONAL_COMPRESSION
