timeframe,rank,story_similarity,sequence_similarity,feature_similarity,screen_similarity,candidate_start,candidate_end,open_time,close_time,interaction_count,break_count,hold_count,rejection_count,pullback_count,repeated_level_tests,reaction_expansion_count,swing_high_tests,swing_low_tests,body_zone_tests,first_direction,second_direction,direction_shift,first_range,second_range,range_shift,first_body,second_body,body_shift,first_close_location,second_close_location,close_location_shift,first_interaction_position,last_interaction_position,level_count,story,story_event_count,story_phase_count
3m,11,0.637232752516522,0.7075,0.4264310100660882,0.6723490139087871,26520,26539,1788987420000,1788991019999,5,0,2,2,3,2,2,1,4,1,0.0,0.0,0.0,3.138000000000011,2.703999999999951,-0.4340000000000601,2.5700000000000727,1.8579999999999928,-0.7120000000000799,0.5597295800720901,0.449394651073892,-0.11033492899819808,1.0,1.7,4,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> LEVEL_INTERACTION_CLUSTER -> EXPANSION_AFTER_TEST -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,5,6
3m,12,0.635111465928767,0.67375,0.5191958637150681,0.665961030414775,12853,12872,1786527360000,1786530959999,5,0,0,0,2,3,1,0,0,5,0.0,0.0,0.0,2.7149999999999865,2.0840000000000147,-0.6309999999999718,1.911999999999989,0.8770000000000209,-1.0349999999999682,0.48017002031459854,0.4717210497979865,-0.008448970516612031,1.0,1.7,5,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,5,5
3m,13,0.6099177977021636,0.67375,0.4184211908086545,0.6610911325859496,21145,21164,1788019920000,1788023519999,5,0,3,3,2,4,3,5,0,5,0.0,0.0,0.0,3.27199999999998,1.988000000000102,-1.283999999999878,1.5749999999999091,1.071000000000049,-0.5039999999998601,0.5396869883612888,0.5352258404574142,-0.0044611479038746404,1.0,1.5,3,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,5,5
3m,14,0.602925904651267,0.67875,0.37545361860506826,0.6625399811109688,3694,3713,1784878740000,1784882339999,5,0,5,3,2,3,1,0,5,2,0.0,-0.2,-0.2,2.4620000000000117,2.0490000000000235,-0.41299999999998827,1.6410000000000082,1.2480000000000246,-0.3929999999999836,0.5857651222169507,0.4905827926160791,-0.09518232960087153,1.1,1.6,4,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST -> REJECTION_CLUSTER,5,5
3m,15,0.5984657425355311,0.6725,0.3763629701421242,0.6670011685463061,15830,15849,1787063220000,1787066819999,6,0,6,1,3,4,2,3,3,3,0.0,0.2,0.2,4.211000000000013,3.0720000000000027,-1.13900000000001,2.0390000000000326,1.6599999999999682,-0.3790000000000644,0.5489469478130411,0.5683464883604634,0.019399540547422323,1.1,1.8,4,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,6,4
3m,16,0.5922558470514983,0.61625,0.5202733882059929,0.6758907335686994,26187,26206,1788927480000,1788931079999,4,0,0,1,4,2,1,0,0,4,0.2,0.2,0.0,3.93100000000004,3.4579999999999473,-0.4730000000000927,2.4869999999999437,1.6769999999999528,-0.809999999999991,0.6428814924321046,0.5211910604795411,-0.12169043195256346,1.1,1.7,4,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> PULLBACK_CLUSTER -> REJECTION_CLUSTER -> EXPANSION_AFTER_TEST,4,5
3m,17,0.589359615300117,0.5916666666666667,0.5824384612004684,0.6671874693103799,3677,3696,1784875680000,1784879279999,5,0,0,1,2,3,0,0,0,5,0.2,-0.2,-0.4,3.975,3.738000000000011,-0.236999999999989,3.0339999999999465,2.5860000000000127,-0.4479999999999338,0.6080349194345305,0.5413894437023969,-0.06664547573213353,1.1,1.9,4,INITIAL_BALANCED_BEHAVIOUR -> DIRECTIONAL_SHIFT -> REPEATED_TEST_CLUSTER,5,3
3m,18,0.5879754086014354,0.67375,0.33065163440574175,0.6553575686858283,23619,23638,1788465240000,1788468839999,7,0,5,0,2,6,2,0,7,0,0.0,-0.2,-0.2,4.785999999999968,3.1289999999999965,-1.6569999999999712,3.2159999999998945,2.0279999999999747,-1.1879999999999198,0.5424202847665222,0.456309126359594,-0.08611115840692818,1.0,1.9,4,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,7,5
3m,19,0.5840067413707724,0.6583333333333333,0.3610269654830893,0.6617988333402341,20092,20111,1787830380000,1787833979999,8,0,4,3,3,6,4,7,1,8,0.0,0.0,0.0,3.594999999999982,3.3350000000000817,-0.2599999999999003,2.216000000000031,1.8049999999999726,-0.4110000000000582,0.5567957712009691,0.4967790909522381,-0.060016680248731025,1.0,1.7,3,INITIAL_BALANCED_BEHAVIOUR -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,8,3
3m,20,0.5795574008784503,0.65,0.3682296035138012,0.6558388924517468,23084,23103,1788368940000,1788372539999,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,3.7289999999999965,3.0239999999999783,-0.7050000000000183,2.51299999999992,1.7789999999999053,-0.7340000000000146,0.5513309477644773,0.5549762517612075,0.0036453039967301315,-1.0,-1.0,4,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION,0,2
3m,21,0.5792416687825895,0.6583333333333333,0.3419666751303579,0.6829011638310646,3819,3838,1784901240000,1784904839999,7,0,6,2,3,6,3,0,7,7,0.0,0.2,0.2,4.5939999999999825,3.911000000000013,-0.6829999999999696,2.5,2.343000000000006,-0.1569999999999938,0.5211134238396176,0.5490409071535601,0.02792748331394257,1.0,1.6,4,INITIAL_BALANCED_BEHAVIOUR -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,7,3
3m,22,0.5790199392036888,0.65,0.3660797568147547,0.7230795988913009,5355,5374,1785177720000,1785181319999,0,0,0,0,0,0,0,0,0,0,0.2,0.0,-0.2,3.532999999999993,3.2090000000000374,-0.32399999999995543,2.2569999999999935,1.7739999999999554,-0.48300000000003807,0.5302292338900938,0.5387971439344379,0.008567910044344096,-1.0,-1.0,5,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION,0,2
3m,23,0.566751212794263,0.5825,0.5195048511770519,0.662415316459318,12854,12873,1786527540000,1786531139999,5,0,0,0,1,4,2,0,0,5,0.2,-0.2,-0.4,2.858999999999969,2.0050000000000407,-0.8539999999999281,1.980999999999972,0.8730000000000245,-1.1079999999999472,0.550488041516014,0.42787361683187203,-0.12261442468414202,1.0,1.9,5,INITIAL_BALANCED_BEHAVIOUR -> RANGE_COMPRESSION -> DIRECTIONAL_SHIFT -> BODY_COMPRESSION -> REPEATED_TEST_CLUSTER -> EXPANSION_AFTER_TEST,5,6
3m,24,0.5649767491188813,0.6100000000000001,0.42990699647552477,0.6725426016609363,26519,26538,1788987240000,1788990839999,5,0,2,2,3,2,1,1,4,1,0.0,0.0,0.0,3.2740000000000236,2.7929999999999837,-0.48100000000003984,2.689000000000078,2.074000000000024,-0.6150000000000544,0.5686837092207733,0.44001436059897026,-0.12866934862180301,1.1,1.8,4,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> LEVEL_INTERACTION_CLUSTER -> REJECTION_CLUSTER -> HOLD_CLUSTER -> EXPANSION_AFTER_TEST,5,6
3m,25,0.5554152376177156,0.5916666666666667,0.4466609504708627,0.6598093582291574,22664,22683,1788293340000,1788296939999,3,0,2,2,2,2,0,0,3,3,0.2,0.2,0.0,3.1979999999999564,2.75,-0.44799999999995643,2.068000000000029,1.4700000000000728,-0.5979999999999561,0.5597728464549933,0.4951852211371115,-0.06458762531788176,1.0,1.3,2,INITIAL_BALANCED_BEHAVIOUR -> BODY_COMPRESSION -> REJECTION_CLUSTER,3,3
