timeframe,pattern_code,count,mean_similarity,best_similarity
3m,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | COMP_TO_EXPAND | CLOSE_MID,1,0.32686511407789137,0.32686511407789137
3m,BALANCED | STABLE | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.32617159514220734,0.32617159514220734
4h,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,3,0.3054418368649195,0.3112080729793453
4h,BALANCED | COMPRESSING | LOWER_WICK | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,3,0.3003539520828868,0.3025347724007012
4h,BALANCED | STABLE | WICK_BALANCED | BULL_SHIFT | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,2,0.3048108508077253,0.3136568170942352
4h,BALANCED | COMPRESSING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,2,0.30247517623173237,0.3109807064625408
4h,BEAR_BIASED | COMPRESSING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.33667401151723175,0.33667401151723175
4h,BEAR_BIASED | STABLE | UPPER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3136913652893642,0.3136913652893642
4h,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.3111648688882593,0.3111648688882593
4h,BALANCED | STABLE | LOWER_WICK | BULL_SHIFT | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.306785361404897,0.306785361404897
4h,BALANCED | COMPRESSING | WICK_BALANCED | BEAR_SHIFT | HIGH_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.3062930836026302,0.3062930836026302
4h,BEAR_BIASED | EXPANDING | WICK_BALANCED | DIRECTION_BALANCED | LOW_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3060926861932875,0.3060926861932875
4h,BALANCED | COMPRESSING | WICK_BALANCED | BULL_SHIFT | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.3060018420674329,0.3060018420674329
4h,BALANCED | STABLE | LOWER_WICK | BULL_SHIFT | HIGH_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3021690943548673,0.3021690943548673
4h,BEAR_BIASED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.30119770414292935,0.30119770414292935
4h,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.3006036084050496,0.3006036084050496
4h,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.3005878781476463,0.3005878781476463
4h,BALANCED | EXPANDING | LOWER_WICK | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.2959883142294938,0.2959883142294938
4h,BALANCED | STABLE | WICK_BALANCED | DIRECTION_BALANCED | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.295415198889369,0.295415198889369
4h,BALANCED | STABLE | WICK_BALANCED | BULL_SHIFT | MID_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,1,0.2944653126117805,0.2944653126117805
4h,BALANCED | STABLE | WICK_BALANCED | BEAR_SHIFT | MID_ALT | MID_BODY | RANGE_STABLE | CLOSE_MID,1,0.2939434656237131,0.2939434656237131
5m,BALANCED | COMPRESSING | WICK_BALANCED | DIRECTION_BALANCED | HIGH_ALT | MID_BODY | EXP_TO_COMPRESS | CLOSE_MID,3,0.3323201614358762,0.3380523925440677
